Timestamp,Location,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth
3/9/2023 10:00,Location X,-37.61666586,41.47329697,3.6730211276460816,1.1928344623132106
3/9/2023 10:01,Location X,-94.29423756,37.32406603,1.6724015124628133,0.19119140582741134
3/9/2023 10:02,Location X,-106.9235226,47.05083425520224,3.1270601572684154,12.060615048835157
3/9/2023 10:03,Location X,-81.51057846,47.12847703,3.1907796023800308,0
3/9/2023 10:04,Location X,-65.07228198,37.98806002688343,0,0
3/9/2023 10:05,Location X,-104.6888739,24.283837400403673,0.22945610622353907,0
3/9/2023 10:06,Location X,-45.56228117,25.055563687934786,1.6446617183249188,2.5646876333702684
3/9/2023 10:07,Location X,-97.77894688,48.069328166603725,4.683263440976719,0
3/9/2023 10:08,Location X,-99.32940578,21.677131784824468,4.189519280763144,2.872278589055894
3/9/2023 10:09,Location X,-77.0915006,24.602716057639817,13.63473062426844,0.3178067731922236
3/9/2023 10:10,Location X,-46.22483917,34.955561809304015,2.1797663119469277,2.4978516193513065
3/9/2023 10:11,Location X,-109.671359,28.691565377552248,2.122355003356533,3.226178448718869
3/9/2023 10:12,Location X,-95.60521667,52.66508785360283,1.5276226260173142,0.13024711745167805
3/9/2023 10:13,Location X,-88.51816777,28.313543379384114,3.818906555245502,1.3438325171203571
3/9/2023 10:14,Location X,-120.4181922,0,0,3.2608230084213026
3/9/2023 10:15,Location X,-105.4487462,61.59855609540678,0,2.942213940850006
3/9/2023 10:16,Location X,-36.68650522,36.71837050257957,0.9627488010233929,1.6085349563809923
3/9/2023 10:17,Location X,-48.17507698,35.97258669081617,0,3.317562481441946
3/9/2023 10:18,Location X,-78.8829944,43.57461202451154,3.9133123947060553,0
3/9/2023 10:19,Location X,-93.13633517,46.311999495164656,0,7.873758992483694
3/9/2023 10:20,Location X,-49.41617514,64.49378413911124,0,0.3903472882621004
3/9/2023 10:21,Location X,-56.20983604,9.123492246321943,0.6480889864239092,2.265950187748814
3/9/2023 10:22,Location X,-77.51809407,0,4.1039695534968335,2.358385963
3/9/2023 10:23,Location X,-106.2754351,35.003564985897526,0,0.15242166767644771
3/9/2023 10:24,Location X,-108.4859039,12.84688172494696,0.3709411062764396,0
3/9/2023 10:25,Location X,-55.07872398,59.29296200185364,1.1198914732010692,0.13772218380513646
3/9/2023 10:26,Location X,-82.10908218,29.19182754262842,0,3.4457800442121496
3/9/2023 10:27,Location X,-97.39176898,40.046087104344835,14.175436540878115,0.1820579927259553
3/9/2023 10:28,Location X,-101.8319406,44.13758525831737,0,0
3/9/2023 10:29,Location X,-113.8166512,43.94068445138531,12.807064607122236,2.0704753291120976
3/9/2023 10:30,Location X,-40.80396795,111.35370625564421,6.375626882874542,5.226239461618149
3/9/2023 10:31,Location X,-51.83515746,34.78412981755876,0.7029139400756724,0
3/9/2023 10:32,Location X,-61.64942077,31.61279406797955,0,1.011475225
3/9/2023 10:33,Location X,-72.7609485,10.301164864757565,4.708129262460489,3.2484432913440893
3/9/2023 10:34,Location X,-108.3631206,43.71897897325258,1.4284998420157982,4.565540096227584
3/9/2023 10:35,Location X,-85.71250339,26.970394896923413,1.140319614948809,6.240995766899987
3/9/2023 10:36,Location X,-109.509503,34.74847894729424,2.5551999404273307,0
3/9/2023 10:37,Location X,-79.43229568,22.353885777916318,4.139473139112527,12.821744194599907
3/9/2023 10:38,Location X,-97.70596319,35.7674565,1.7165464672149056,3.9626107815969567
3/9/2023 10:39,Location X,-102.9930867,36.28388902057473,12.580268678442614,16.62845558654149
3/9/2023 10:40,Location X,-90.49937878,39.44348110098227,0,1.2242060036171125
3/9/2023 10:41,Location X,-120.7158082,13.350575867520192,0.27844088173956455,0
3/9/2023 10:42,Location X,-65.30836022,12.905736451448265,2.8072114627195255,0.5168169894622454
3/9/2023 10:43,Location X,-112.5984395,30.86035565192531,9.991817113,1.7494382905738677
3/9/2023 10:44,Location X,-84.64448326,34.607360710283054,0.4006186859396573,0.8584260991958091
3/9/2023 10:45,Location X,-56.84132083,0,0.032342304,0
3/9/2023 10:46,Location X,-91.39539576,44.21446833248871,14.38452002658291,0
3/9/2023 10:47,Location X,-93.09935575,61.72931615796087,5.172652417289263,0.7428769255020198
3/9/2023 10:48,Location X,-61.48900593,16.695042859575985,2.2242896030458166,0
3/9/2023 10:49,Location X,-94.19756671,32.36778504795135,2.7491451984303845,0.3062100489468184
3/9/2023 10:50,Location X,-59.8828153,55.19637189467416,0.8683227690673304,1.2367246110334493
3/9/2023 10:51,Location X,-88.69404319,32.789517620013086,0,0
3/9/2023 10:52,Location X,-82.5793832,25.582249717598042,0,2.048625498721381
3/9/2023 10:53,Location X,-84.08663201,62.517348447157616,2.7546175913505704,6.3497475058766515
3/9/2023 10:54,Location X,-82.61252743,0,10.006452495117857,14.859823532152323
3/9/2023 10:55,Location X,-99.12048183,20.752628397071984,13.547275398412822,2.655701442569579
